Unique.ID,Mother.colony,Density,Relatedness,Grid.position,X,Y,Inside.outside,Date,Age.days,Bifurcations,Zooids,Survival
18non,19,18,Non,5,1,4,Out,17-Dec-21,32,,,0
18non,26,18,Non,3,3,4,Out,17-Dec-21,32,,,0
18non,1,18,Non,2,4,4,Out,17-Dec-21,32,,,0
18non,22,18,Non,1,5,4,Out,17-Dec-21,32,,,0
18non,15,18,Non,10,1,3,Out,17-Dec-21,32,,,0
18non,20,18,Non,9,2,3,In,17-Dec-21,32,,,0
18non,3,18,Non,8,3,3,In,17-Dec-21,32,,,0
18non,10,18,Non,7,4,3,In,17-Dec-21,32,,,0
18non,14,18,Non,6,5,3,Out,17-Dec-21,32,,,0
18non,21,18,Non,15,1,2,Out,17-Dec-21,32,5,277,1
18non,7,18,Non,14,2,2,In,17-Dec-21,32,,,0
18non,24,18,Non,13,3,2,In,17-Dec-21,32,,,0
18non,2,18,Non,11,5,2,Out,17-Dec-21,32,,,0
18non,18,18,Non,20,1,1,Out,17-Dec-21,32,3,60,1
18non,23,18,Non,19,2,1,Out,17-Dec-21,32,5,372,1
18non,12,18,Non,18,3,1,Out,17-Dec-21,32,6,994,1
18non,8,18,Non,17,4,1,Out,17-Dec-21,32,6,406,1
18non,11,18,Non,16,5,1,Out,17-Dec-21,32,6,773,1
20non,24,20,Non,5,1,4,Out,17-Dec-21,32,,,0
20non,2,20,Non,4,2,4,Out,17-Dec-21,32,,,0
20non,8,20,Non,3,3,4,Out,17-Dec-21,32,,,0
20non,9,20,Non,2,4,4,Out,17-Dec-21,32,,,0
20non,21,20,Non,1,5,4,Out,17-Dec-21,32,0,2,1
20non,20,20,Non,10,1,3,Out,17-Dec-21,32,,,0
20non,14,20,Non,9,2,3,In,17-Dec-21,32,,,0
20non,3,20,Non,8,3,3,In,17-Dec-21,32,,,0
20non,7,20,Non,7,4,3,In,17-Dec-21,32,4,149,1
20non,15,20,Non,6,5,3,Out,17-Dec-21,32,3,47,1
20non,10,20,Non,15,1,2,Out,17-Dec-21,32,,,0
20non,18,20,Non,14,2,2,In,17-Dec-21,32,4,195,1
20non,19,20,Non,13,3,2,In,17-Dec-21,32,,,0
20non,26,20,Non,12,4,2,In,17-Dec-21,32,3,130,1
20non,13,20,Non,11,5,2,Out,17-Dec-21,32,,,0
20non,12,20,Non,20,1,1,Out,17-Dec-21,32,3,75,1
20non,4,20,Non,19,2,1,Out,17-Dec-21,32,4,232,1
20non,11,20,Non,18,3,1,Out,17-Dec-21,32,1,14,1
20non,1,20,Non,17,4,1,Out,17-Dec-21,32,6,303,1
20non,16,20,Non,16,5,1,Out,17-Dec-21,32,2,28,1
2sib,14,2,Sib,6,5,3,Out,17-Dec-21,32,5,316,1
2sib,14,2,Sib,12,4,2,In,17-Dec-21,32,4,208,1
4sib,10,4,Sib,6,5,3,Out,17-Dec-21,32,4,270,1
4sib,10,4,Sib,7,4,3,In,17-Dec-21,32,4,207,1
4sib,10,4,Sib,17,4,1,Out,17-Dec-21,32,6,851,1
4sib,10,4,Sib,18,3,1,Out,17-Dec-21,32,6,945,1
6sib,12,6,Sib,2,4,4,Out,17-Dec-21,32,5,363,1
6sib,12,6,Sib,3,3,4,Out,17-Dec-21,32,6,663,1
6sib,12,6,Sib,8,3,3,In,17-Dec-21,32,6,748,1
6sib,12,6,Sib,11,5,2,Out,17-Dec-21,32,,,0
6sib,12,6,Sib,14,2,2,In,17-Dec-21,32,4,268,1
6sib,12,6,Sib,15,1,2,Out,17-Dec-21,32,5,409,1
8sib,24,8,Sib,1,5,4,Out,17-Dec-21,32,3,97,1
8sib,24,8,Sib,3,3,4,Out,17-Dec-21,32,5,408,1
8sib,24,8,Sib,7,4,3,In,17-Dec-21,32,5,502,1
8sib,24,8,Sib,10,1,3,Out,17-Dec-21,32,,,0
8sib,24,8,Sib,12,4,2,In,17-Dec-21,32,,,0
8sib,24,8,Sib,15,1,2,Out,17-Dec-21,32,,,0
8sib,24,8,Sib,18,3,1,Out,17-Dec-21,32,6,575,1
8sib,24,8,Sib,19,2,1,Out,17-Dec-21,32,3,89,1
10sib,21,10,Sib,1,5,4,Out,17-Dec-21,32,5,416,1
10sib,21,10,Sib,5,1,4,Out,17-Dec-21,32,,,0
10sib,21,10,Sib,6,5,3,Out,17-Dec-21,32,5,468,1
10sib,21,10,Sib,9,2,3,In,17-Dec-21,32,5,324,1
10sib,21,10,Sib,10,1,3,Out,17-Dec-21,32,6,923,1
10sib,21,10,Sib,11,5,2,Out,17-Dec-21,32,5,383,1
10sib,21,10,Sib,13,3,2,In,17-Dec-21,32,,,0
10sib,21,10,Sib,18,3,1,Out,17-Dec-21,32,,,0
10sib,21,10,Sib,19,2,1,Out,17-Dec-21,32,5,403,1
10sib,21,10,Sib,20,1,1,Out,17-Dec-21,32,5,428,1
14sib,8,14,Sib,2,4,4,Out,17-Dec-21,32,5,395,1
14sib,8,14,Sib,4,2,4,Out,17-Dec-21,32,5,526,1
14sib,8,14,Sib,5,1,4,Out,17-Dec-21,32,4,193,1
14sib,8,14,Sib,8,3,3,In,17-Dec-21,32,6,554,1
14sib,8,14,Sib,9,2,3,In,17-Dec-21,32,1,11,1
14sib,8,14,Sib,11,5,2,Out,17-Dec-21,32,2,38,1
14sib,8,14,Sib,12,4,2,In,17-Dec-21,32,4,240,1
14sib,8,14,Sib,13,3,2,In,17-Dec-21,32,,,0
14sib,8,14,Sib,14,2,2,In,17-Dec-21,32,5,270,1
14sib,8,14,Sib,16,5,1,Out,17-Dec-21,32,,,0
14sib,8,14,Sib,17,4,1,Out,17-Dec-21,32,1,27,1
14sib,8,14,Sib,18,3,1,Out,17-Dec-21,32,5,252,1
14sib,8,14,Sib,19,2,1,Out,17-Dec-21,32,6,741,1
14sib,8,14,Sib,20,1,1,Out,17-Dec-21,32,5,346,1
16sib,18,16,Sib,1,5,4,Out,17-Dec-21,32,6,596,1
16sib,18,16,Sib,2,4,4,Out,17-Dec-21,32,6,692,1
16sib,18,16,Sib,3,3,4,Out,17-Dec-21,32,4,268,1
16sib,18,16,Sib,5,1,4,Out,17-Dec-21,32,5,406,1
16sib,18,16,Sib,6,5,3,Out,17-Dec-21,32,6,933,1
16sib,18,16,Sib,8,3,3,In,17-Dec-21,32,,,0
16sib,18,16,Sib,9,2,3,In,17-Dec-21,32,3,113,1
16sib,18,16,Sib,10,1,3,Out,17-Dec-21,32,,,0
16sib,18,16,Sib,11,5,2,Out,17-Dec-21,32,7,1084,1
16sib,18,16,Sib,12,4,2,In,17-Dec-21,32,,,0
16sib,18,16,Sib,14,2,2,In,17-Dec-21,32,,,0
16sib,18,16,Sib,16,5,1,Out,17-Dec-21,32,,,0
16sib,18,16,Sib,17,4,1,Out,17-Dec-21,32,5,315,1
16sib,18,16,Sib,18,3,1,Out,17-Dec-21,32,,,0
16sib,18,16,Sib,19,2,1,Out,17-Dec-21,32,,,0
16sib,18,16,Sib,20,1,1,Out,17-Dec-21,32,,,0
18sib,3,18,Sib,1,5,4,Out,17-Dec-21,32,4,276,1
18sib,3,18,Sib,2,4,4,Out,17-Dec-21,32,,,0
18sib,3,18,Sib,3,3,4,Out,17-Dec-21,32,,,0
18sib,3,18,Sib,4,2,4,Out,17-Dec-21,32,,,0
18sib,3,18,Sib,5,1,4,Out,17-Dec-21,32,,,0
18sib,3,18,Sib,6,5,3,Out,17-Dec-21,32,,,0
18sib,3,18,Sib,8,3,3,In,17-Dec-21,32,,,0
18sib,3,18,Sib,9,2,3,In,17-Dec-21,32,,,0
18sib,3,18,Sib,10,1,3,Out,17-Dec-21,32,,,0
18sib,3,18,Sib,11,5,2,Out,17-Dec-21,32,6,613,1
18sib,3,18,Sib,12,4,2,In,17-Dec-21,32,7,939,1
18sib,3,18,Sib,13,3,2,In,17-Dec-21,32,1,28,1
18sib,3,18,Sib,14,2,2,In,17-Dec-21,32,4,128,1
18sib,3,18,Sib,16,5,1,Out,17-Dec-21,32,,,0
18sib,3,18,Sib,17,4,1,Out,17-Dec-21,32,5,456,1
18sib,3,18,Sib,18,3,1,Out,17-Dec-21,32,5,313,1
18sib,3,18,Sib,19,2,1,Out,17-Dec-21,32,1,27,1
18sib,3,18,Sib,20,1,1,Out,17-Dec-21,32,5,566,1
20sib,2,20,Sib,1,5,4,Out,17-Dec-21,32,,,0
20sib,2,20,Sib,2,4,4,Out,17-Dec-21,32,5,351,1
20sib,2,20,Sib,3,3,4,Out,17-Dec-21,32,2,42,1
20sib,2,20,Sib,4,2,4,Out,17-Dec-21,32,7,1095,1
20sib,2,20,Sib,5,1,4,Out,17-Dec-21,32,,,0
20sib,2,20,Sib,6,5,3,Out,17-Dec-21,32,3,94,1
20sib,2,20,Sib,7,4,3,In,17-Dec-21,32,4,202,1
20sib,2,20,Sib,8,3,3,In,17-Dec-21,32,,,0
20sib,2,20,Sib,9,2,3,In,17-Dec-21,32,,,0
20sib,2,20,Sib,10,1,3,Out,17-Dec-21,32,,,0
20sib,2,20,Sib,11,5,2,Out,17-Dec-21,32,,,0
20sib,2,20,Sib,12,4,2,In,17-Dec-21,32,,,0
20sib,2,20,Sib,13,3,2,In,17-Dec-21,32,,,0
20sib,2,20,Sib,14,2,2,In,17-Dec-21,32,3,44,1
20sib,2,20,Sib,15,1,2,Out,17-Dec-21,32,4,328,1
20sib,2,20,Sib,16,5,1,Out,17-Dec-21,32,,,0
20sib,2,20,Sib,17,4,1,Out,17-Dec-21,32,,,0
20sib,2,20,Sib,18,3,1,Out,17-Dec-21,32,,,0
20sib,2,20,Sib,19,2,1,Out,17-Dec-21,32,5,281,1
20sib,2,20,Sib,20,1,1,Out,17-Dec-21,32,,,0
