ClusterIndex,Probability,OffspringID,FatherID,MotherID
1,0.3389,01b_28_03_Plate4_H7,#1,01b_parent
1,0.3389,01b_20_02_Plate7_H6,#2,01b_parent
1,0.3389,01b_20_05_Plate7_G12,#3,01b_parent
1,0.3389,01b_20_03_Plate5_G7,#4,01b_parent
1,0.3389,01b_32_04_Plate3_G5,#5,01b_parent
1,0.3389,01b_36_03_Plate7_F10,#6,01b_parent
1,0.3389,01b_24_04_Plate4_F1,#7,01b_parent
1,0.3389,01b_28_01_Plate4_D7,#8,01b_parent
1,0.3389,01b_20_04_Plate3_D4,#9,01b_parent
1,0.3389,01b_36_04_Plate5_C8,#10,01b_parent
1,0.3389,01b_40_02_Plate2_C6,#11,01b_parent
1,0.3389,01b_32_01_Plate7_C4,#12,01b_parent
1,0.3389,01b_36_02_Plate6_C3,#13,01b_parent
1,0.3389,01b_28_02_Plate3_C3,#12,01b_parent
1,0.3389,01b_24_03_Plate6_C2,#14,01b_parent
1,0.3389,01b_28_04_Plate2_B12,#1,01b_parent
1,0.3389,01b_36_01_Plate2_B4,#15,01b_parent
1,0.3389,01b_40_04_Plate4_A11,#16,01b_parent
1,0.3389,01b_40_03_Plate3_A9,#17,01b_parent
1,0.3389,01b_24_02_Plate6_A7,#18,01b_parent
1,0.3389,01b_32_02_Plate3_A7,#6,01b_parent
1,0.3389,01b_40_01_Plate3_A4,#19,01b_parent
1,0.3389,01b_32_03_Plate1_G3,#20,01b_parent
1,0.3389,01b_24_01_Plate1_A2,#21,01b_parent
1,0.3389,01b_20_01_Plate1_H1,#22,01b_parent
1,0.3389,29b_36_03_Plate7_H12,#262,29b_parent
1,0.3389,29b_24_01_Plate7_H11,#263,29b_parent
1,0.3389,29b_20_05_Plate7_H3,#5,29b_parent
1,0.3389,29b_24_02_Plate4_H3,#264,29b_parent
1,0.3389,29b_28_01_Plate7_G7,#265,29b_parent
1,0.3389,29b_24_03_Plate6_G1,#266,29b_parent
1,0.3389,29b_32_01_Plate4_F12,#267,29b_parent
1,0.3389,29b_28_02_Plate7_F11,#20,29b_parent
1,0.3389,29b_28_03_Plate7_F2,#268,29b_parent
1,0.3389,29b_36_04_Plate5_F2,#269,29b_parent
1,0.3389,29b_20_01_Plate7_E8,#268,29b_parent
1,0.3389,29b_40_03_Plate2_E3,#267,29b_parent
1,0.3389,29b_20_04_Plate2_E2,#270,29b_parent
1,0.3389,29b_36_01_Plate3_D7,#14,29b_parent
1,0.3389,29b_32_03_Plate6_C12,#271,29b_parent
1,0.3389,29b_28_04_Plate6_C11,#13,29b_parent
1,0.3389,29b_40_02_Plate4_C1,#6,29b_parent
1,0.3389,29b_20_02_Plate3_B9,#10,29b_parent
1,0.3389,29b_40_04_Plate4_A4,#6,29b_parent
1,0.3389,29b_40_01_Plate1_A3,#14,29b_parent
1,0.3389,29b_36_02_Plate1_G2,#270,29b_parent
1,0.3389,29b_32_02_Plate1_G1,#272,29b_parent
1,0.3389,29b_24_04_Plate1_F12,#273,29b_parent
1,0.3389,29b_20_03_Plate1_G11,#274,29b_parent
2,0.5771,02a_32_04_Plate6_H11,03a_parent,02a_parent
2,0.5771,02a_32_03_Plate6_H5,#23,02a_parent
2,0.5771,02a_24_05_Plate4_H1,03a_parent,02a_parent
2,0.5771,02a_24_04_Plate5_G11,#24,02a_parent
2,0.5771,02a_28_10_Plate7_G10,#25,02a_parent
2,0.5771,02a_28_03_Plate3_G1,#26,02a_parent
2,0.5771,02a_24_12_Plate6_F5,#27,02a_parent
2,0.5771,02a_24_02_Plate4_F5,#28,02a_parent
2,0.5771,02a_28_08_Plate2_E11,#29,02a_parent
2,0.5771,02a_28_05_Plate4_E4,#30,02a_parent
2,0.5771,02a_24_11_Plate3_E3,#26,02a_parent
2,0.5771,02a_32_05_Plate7_E1,#31,02a_parent
2,0.5771,02a_24_06_Plate4_E1,#32,02a_parent
2,0.5771,02a_24_08_Plate5_D10,12b_parent,02a_parent
2,0.5771,02a_24_10_Plate7_D4,#33,02a_parent
2,0.5771,02a_28_09_Plate5_C12,#34,02a_parent
2,0.5771,02a_24_03_Plate6_C9,#35,02a_parent
2,0.5771,02a_28_06_Plate3_C8,#36,02a_parent
2,0.5771,02a_24_07_Plate3_B12,#28,02a_parent
2,0.5771,02a_28_07_Plate4_A10,#37,02a_parent
2,0.5771,02a_24_09_Plate3_A6,#38,02a_parent
2,0.5771,02a_28_04_Plate6_A1,#39,02a_parent
2,0.5771,02a_28_02_Plate1_A7,#40,02a_parent
2,0.5771,02a_28_01_Plate1_F8,#41,02a_parent
2,0.5771,02a_24_01_Plate1_C5,#42,02a_parent
2,0.5771,04a_36_01_Plate4_H12,#43,04a_parent
2,0.5771,04a_24_02_Plate2_H11,#44,04a_parent
2,0.5771,04a_24_05_Plate5_G12,#45,04a_parent
2,0.5771,04a_32_02_Plate6_G6,#31,04a_parent
2,0.5771,04a_36_03_Plate5_G6,#45,04a_parent
2,0.5771,04a_28_05_Plate5_E10,#46,04a_parent
2,0.5771,04a_40_02_Plate2_D12,#47,04a_parent
2,0.5771,04a_36_05_Plate4_D11,#48,04a_parent
2,0.5771,04a_28_04_Plate5_D8,#49,04a_parent
2,0.5771,04a_28_01_Plate7_D2,#50,04a_parent
2,0.5771,04a_28_03_Plate2_C11,#51,04a_parent
2,0.5771,04a_36_04_Plate5_C10,#52,04a_parent
2,0.5771,04a_32_05_Plate2_C1,#53,04a_parent
2,0.5771,04a_32_01_Plate7_B8,#54,04a_parent
2,0.5771,04a_40_03_Plate3_B8,#55,04a_parent
2,0.5771,04a_32_03_Plate6_B2,#47,04a_parent
2,0.5771,04a_28_02_Plate4_A12,#56,04a_parent
2,0.5771,04a_32_04_Plate5_A9,#57,04a_parent
2,0.5771,04a_24_04_Plate5_A6,#55,04a_parent
2,0.5771,04a_36_02_Plate2_A2,#58,04a_parent
2,0.5771,04a_40_04_Plate5_A1,#59,04a_parent
2,0.5771,04a_24_01_Plate3_A1,#60,04a_parent
2,0.5771,04a_40_01_Plate1_C3,#52,04a_parent
2,0.5771,04a_24_03_Plate1_F10,#61,04a_parent
2,0.5771,08a_28_04_Plate5_H5,#109,08a_parent
2,0.5771,08a_20_01_Plate5_H4,#44,08a_parent
2,0.5771,08a_40_04_Plate2_H4,#110,08a_parent
2,0.5771,08a_40_01_Plate5_G5,#111,08a_parent
2,0.5771,08a_28_01_Plate7_G4,#112,08a_parent
2,0.5771,08a_36_03_Plate7_G3,#113,08a_parent
2,0.5771,08a_32_02_Plate7_F12,#114,08a_parent
2,0.5771,08a_24_02_Plate6_F9,#115,08a_parent
2,0.5771,08a_36_01_Plate5_F7,#116,08a_parent
2,0.5771,08a_40_04_Plate2_F7,#117,08a_parent
2,0.5771,08a_40_03_Plate5_F1,#118,08a_parent
2,0.5771,08a_24_03_Plate6_E10,#119,08a_parent
2,0.5771,08a_20_05_Plate3_E1,#120,08a_parent
2,0.5771,08a_28_02_Plate7_D9,#121,08a_parent
2,0.5771,08a_20_03_Plate7_C12,#122,08a_parent
2,0.5771,08a_32_03_Plate5_C11,#123,08a_parent
2,0.5771,08a_28_03_Plate2_C4,#124,08a_parent
2,0.5771,08a_20_04__Plate7_C3,#125,08a_parent
2,0.5771,08a_20_02_Plate2_C2,#112,08a_parent
2,0.5771,08a_36_02_Plate7_B9,#111,08a_parent
2,0.5771,08a_32_04_Plate7_A12,#126,08a_parent
2,0.5771,08a_24_04_Plate6_A3,#109,08a_parent
2,0.5771,08a_40_02_Plate1_F7,#127,08a_parent
2,0.5771,08a_36_04_Plate1_E6,#32,08a_parent
2,0.5771,08a_32_01_Plate1_D5,#127,08a_parent
2,0.5771,08a_24_01_Plate1_E3,#39,08a_parent
2,0.5771,09a_28_02_Plate6_H2,#128,09a_parent
2,0.5771,09a_32_06_Plate2_G7,#129,09a_parent
2,0.5771,09a_28_06_Plate3_G4,#51,09a_parent
2,0.5771,09a_36_02_Plate4_G3,12b_parent,09a_parent
2,0.5771,09a_28_03_Plate7_G1,#130,09a_parent
2,0.5771,09a_28_05_Plate2_F9,#131,09a_parent
2,0.5771,09a_40_03_Plate6_E4,#35,09a_parent
2,0.5771,09a_40_01_Plate4_D9,#132,09a_parent
2,0.5771,09a_24_02_Plate7_D8,#50,09a_parent
2,0.5771,09a_32_01_Plate2_D6,#110,09a_parent
2,0.5771,09a_24_01_Plate5_D5,#133,09a_parent
2,0.5771,09a_28_04_Plate6_C1,#28,09a_parent
2,0.5771,09a_40_04_Plate5_B12,#134,09a_parent
2,0.5771,09a_32_04_Plate6_B6,#49,09a_parent
2,0.5771,09a_36_03_Plate5_B4,#46,09a_parent
2,0.5771,09a_32_05_Plate4_B3,#46,09a_parent
2,0.5771,09a_36_01_Plate5_B2,#128,09a_parent
2,0.5771,09a_32_02_Plate6_A12,#135,09a_parent
2,0.5771,09a_28_01_Plate2_A9,#136,09a_parent
2,0.5771,09a_24_04_Plate7_A8,#135,09a_parent
2,0.5771,09a_40_02_Plate1_E12,#29,09a_parent
2,0.5771,09a_36_05_Plate1_H11,#38,09a_parent
2,0.5771,09a_32_03_Plate1_D10,#137,09a_parent
2,0.5771,09a_28_07_Plate1_D8,#138,09a_parent
2,0.5771,12b_28_02_Plate2_H7,#139,12b_parent
2,0.5771,12b_24_01_Plate3_H6,#140,12b_parent
2,0.5771,12b_20_05_Plate7_H1,#141,12b_parent
2,0.5771,12b_40_01_Plate7_G11,#142,12b_parent
2,0.5771,12b_36_03_Plate2_G11,#136,12b_parent
2,0.5771,12b_28_01_Plate4_G7,#51,12b_parent
2,0.5771,12b_36_05_Plate2_G6,#124,12b_parent
2,0.5771,12b_24_04_Plate4_G5,#143,12b_parent
2,0.5771,12b_20_02_Plate6_G2,#27,12b_parent
2,0.5771,12b_20_01_Plate2_F11,#144,12b_parent
2,0.5771,12b_28_04_Plate7_F5,#33,12b_parent
2,0.5771,12b_40_02_Plate4_F4,#145,12b_parent
2,0.5771,12b_28_02_Plate2_E6,#110,12b_parent
2,0.5771,12b_36_02_Plate2_E5,#146,12b_parent
2,0.5771,12b_24_03_Plate6_D12,#112,12b_parent
2,0.5771,12b_20_04_Plate3_D11,#147,12b_parent
2,0.5771,12b_40_03_Plate4_D10,#60,12b_parent
2,0.5771,12b_32_04_Plate6_D5,#148,12b_parent
2,0.5771,12b_32_03_Plate2_D4,#149,12b_parent
2,0.5771,12b_40_04_Plate7_C6,#33,12b_parent
2,0.5771,12b_36_01_Plate2_C5,#33,12b_parent
2,0.5771,12b_36_04_Plate3_C4,#150,12b_parent
2,0.5771,12b_32_02_Plate6_B1,#37,12b_parent
2,0.5771,12b_32_01_Plate7_A7,#114,12b_parent
2,0.5771,12b_28_03_Plate1_F3,#43,12b_parent
2,0.5771,12b_24_02_Plate1_F2,#151,12b_parent
2,0.5771,12b_20_03_Plate1_D1,#152,12b_parent
2,0.5771,19b_32_05_PLate6_H10,#134,19b_parent
2,0.5771,19b_24_05_Plate4_G9,#125,19b_parent
2,0.5771,19b_32_03_Plate7_G8,#45,19b_parent
2,0.5771,19b_40_04_Plate4_F11,#40,19b_parent
2,0.5771,19b_32_02_Plate3_F11,#200,19b_parent
2,0.5771,19b_20_04_Plate2_F10,#61,19b_parent
2,0.5771,19b_28_04_Plate4_F8,#42,19b_parent
2,0.5771,19b_28_05_Plate4_F3,#201,19b_parent
2,0.5771,19b_40_03_Plate4_F2,#130,19b_parent
2,0.5771,19b_28_02_Plate6_E8,#202,19b_parent
2,0.5771,19b_20_05_Plate4_E2,#203,19b_parent
2,0.5771,19b_32_04_Plate6_D4,#204,19b_parent
2,0.5771,19b_20_02_Plate7_C9,#31,19b_parent
2,0.5771,19b_24_04_Plate4_C9,#205,19b_parent
2,0.5771,19b_24_02_Plate6_B12,#54,19b_parent
2,0.5771,19b_40_01_Plate7_B11,#50,19b_parent
2,0.5771,19b_24_01_Plate3_B11,#206,19b_parent
2,0.5771,19b_28_01_Plate7_B10,#31,19b_parent
2,0.5771,19b_20_03_Plate3_B10,#207,19b_parent
