FullSibshipIndex,Prob(Inc.),Prob(Exc.),Member1,Member2,Member3,Member4,Member5,Member6,Member7,Member8,Member9,Member10,Member11,Member12,Member13,Member14,Member15,Member16,Member17,Member18
1,1,0.0963,01b_28_03_Plate4_H7,,,,,,,,,,,,,,,,,
2,1,0.0963,01b_20_02_Plate7_H6,,,,,,,,,,,,,,,,,
3,1,0.0963,01b_20_05_Plate7_G12,,,,,,,,,,,,,,,,,
4,0.6399,0.0617,01b_20_03_Plate5_G7,01b_28_04_Plate2_B12,,,,,,,,,,,,,,,,
5,1,0.0963,01b_32_04_Plate3_G5,,,,,,,,,,,,,,,,,
6,1,0.0963,01b_36_03_Plate7_F10,,,,,,,,,,,,,,,,,
7,1,0.0963,01b_24_04_Plate4_F1,,,,,,,,,,,,,,,,,
8,1,0.0963,01b_28_01_Plate4_D7,,,,,,,,,,,,,,,,,
9,1,0.0963,01b_20_04_Plate3_D4,,,,,,,,,,,,,,,,,
10,1,0.0963,01b_36_04_Plate5_C8,,,,,,,,,,,,,,,,,
11,1,0.0963,01b_40_02_Plate2_C6,,,,,,,,,,,,,,,,,
12,1,0.0963,01b_32_01_Plate7_C4,,,,,,,,,,,,,,,,,
13,1,0.0963,01b_36_02_Plate6_C3,,,,,,,,,,,,,,,,,
14,1,0.0963,01b_28_02_Plate3_C3,,,,,,,,,,,,,,,,,
15,1,0.0963,01b_24_03_Plate6_C2,,,,,,,,,,,,,,,,,
16,1,0.0963,01b_36_01_Plate2_B4,,,,,,,,,,,,,,,,,
17,1,0.0963,01b_40_04_Plate4_A11,,,,,,,,,,,,,,,,,
18,1,0.0963,01b_40_03_Plate3_A9,,,,,,,,,,,,,,,,,
19,1,0.0963,01b_24_02_Plate6_A7,,,,,,,,,,,,,,,,,
20,1,0.0963,01b_32_02_Plate3_A7,,,,,,,,,,,,,,,,,
21,1,0.0963,01b_40_01_Plate3_A4,,,,,,,,,,,,,,,,,
22,1,0.0963,01b_32_03_Plate1_G3,,,,,,,,,,,,,,,,,
23,1,0.0963,01b_24_01_Plate1_A2,,,,,,,,,,,,,,,,,
24,1,0.0963,01b_20_01_Plate1_H1,,,,,,,,,,,,,,,,,
25,0.9479,0.0914,02a_32_04_Plate6_H11,02a_24_05_Plate4_H1,,,,,,,,,,,,,,,,
26,1,0.0963,02a_32_03_Plate6_H5,,,,,,,,,,,,,,,,,
27,1,0.0963,02a_24_04_Plate5_G11,,,,,,,,,,,,,,,,,
28,1,0.0963,02a_28_10_Plate7_G10,,,,,,,,,,,,,,,,,
29,1,0.0963,02a_28_03_Plate3_G1,,,,,,,,,,,,,,,,,
30,1,0.0963,02a_24_12_Plate6_F5,,,,,,,,,,,,,,,,,
31,1,0.0963,02a_24_02_Plate4_F5,,,,,,,,,,,,,,,,,
32,1,0.0963,02a_28_08_Plate2_E11,,,,,,,,,,,,,,,,,
33,0.845,0.0815,02a_28_05_Plate4_E4,02a_24_03_Plate6_C9,,,,,,,,,,,,,,,,
34,1,0.0963,02a_24_11_Plate3_E3,,,,,,,,,,,,,,,,,
35,1,0.0963,02a_32_05_Plate7_E1,,,,,,,,,,,,,,,,,
36,1,0.0963,02a_24_06_Plate4_E1,,,,,,,,,,,,,,,,,
37,1,0.0963,02a_24_08_Plate5_D10,,,,,,,,,,,,,,,,,
38,1,0.0963,02a_24_10_Plate7_D4,,,,,,,,,,,,,,,,,
39,1,0.0963,02a_28_09_Plate5_C12,,,,,,,,,,,,,,,,,
40,1,0.0963,02a_28_06_Plate3_C8,,,,,,,,,,,,,,,,,
41,1,0.0963,02a_24_07_Plate3_B12,,,,,,,,,,,,,,,,,
42,1,0.0963,02a_28_07_Plate4_A10,,,,,,,,,,,,,,,,,
43,1,0.0963,02a_24_09_Plate3_A6,,,,,,,,,,,,,,,,,
44,1,0.0963,02a_28_04_Plate6_A1,,,,,,,,,,,,,,,,,
45,1,0.0963,02a_28_02_Plate1_A7,,,,,,,,,,,,,,,,,
46,1,0.0963,02a_28_01_Plate1_F8,,,,,,,,,,,,,,,,,
47,1,0.0963,02a_24_01_Plate1_C5,,,,,,,,,,,,,,,,,
48,1,0.0964,04a_36_01_Plate4_H12,,,,,,,,,,,,,,,,,
49,0.9184,0.0887,04a_24_02_Plate2_H11,04a_32_04_Plate5_A9,,,,,,,,,,,,,,,,
50,0.9807,0.0947,04a_24_05_Plate5_G12,04a_36_03_Plate5_G6,,,,,,,,,,,,,,,,
51,1,0.0964,04a_32_02_Plate6_G6,,,,,,,,,,,,,,,,,
52,1,0.0964,04a_28_05_Plate5_E10,,,,,,,,,,,,,,,,,
53,0.973,0.0939,04a_40_02_Plate2_D12,04a_32_03_Plate6_B2,,,,,,,,,,,,,,,,
54,1,0.0964,04a_36_05_Plate4_D11,,,,,,,,,,,,,,,,,
55,1,0.0964,04a_28_04_Plate5_D8,,,,,,,,,,,,,,,,,
56,1,0.0964,04a_28_01_Plate7_D2,,,,,,,,,,,,,,,,,
57,1,0.0964,04a_28_03_Plate2_C11,,,,,,,,,,,,,,,,,
58,0.9205,0.0889,04a_36_04_Plate5_C10,04a_40_01_Plate1_C3,,,,,,,,,,,,,,,,
59,1,0.0964,04a_32_05_Plate2_C1,,,,,,,,,,,,,,,,,
60,1,0.0964,04a_32_01_Plate7_B8,,,,,,,,,,,,,,,,,
61,1,0.0964,04a_40_03_Plate3_B8,,,,,,,,,,,,,,,,,
62,1,0.0964,04a_28_02_Plate4_A12,,,,,,,,,,,,,,,,,
63,1,0.0964,04a_24_04_Plate5_A6,,,,,,,,,,,,,,,,,
64,1,0.0964,04a_36_02_Plate2_A2,,,,,,,,,,,,,,,,,
