ClusterIndex,Probability,OffspringID,FatherID,MotherID
1,0.0023,01b_28_03_Plate4_H7,#1,01b_parent
1,0.0023,01b_20_02_Plate7_H6,#2,01b_parent
1,0.0023,01b_20_05_Plate7_G12,#3,01b_parent
1,0.0023,01b_20_03_Plate5_G7,#4,01b_parent
1,0.0023,01b_32_04_Plate3_G5,#5,01b_parent
1,0.0023,01b_36_03_Plate7_F10,#6,01b_parent
1,0.0023,01b_24_04_Plate4_F1,#7,01b_parent
1,0.0023,01b_28_01_Plate4_D7,#8,01b_parent
1,0.0023,01b_20_04_Plate3_D4,#9,01b_parent
1,0.0023,01b_36_04_Plate5_C8,#10,01b_parent
1,0.0023,01b_40_02_Plate2_C6,#11,01b_parent
1,0.0023,01b_32_01_Plate7_C4,#12,01b_parent
1,0.0023,01b_36_02_Plate6_C3,#13,01b_parent
1,0.0023,01b_28_02_Plate3_C3,#12,01b_parent
1,0.0023,01b_24_03_Plate6_C2,#14,01b_parent
1,0.0023,01b_28_04_Plate2_B12,#15,01b_parent
1,0.0023,01b_36_01_Plate2_B4,#16,01b_parent
1,0.0023,01b_40_04_Plate4_A11,#17,01b_parent
1,0.0023,01b_40_03_Plate3_A9,#18,01b_parent
1,0.0023,01b_24_02_Plate6_A7,#19,01b_parent
1,0.0023,01b_32_02_Plate3_A7,#20,01b_parent
1,0.0023,01b_40_01_Plate3_A4,#21,01b_parent
1,0.0023,01b_32_03_Plate1_G3,#22,01b_parent
1,0.0023,01b_24_01_Plate1_A2,#23,01b_parent
1,0.0023,01b_20_01_Plate1_H1,#24,01b_parent
1,0.0023,04a_36_01_Plate4_H12,#19,04a_parent
1,0.0023,04a_24_02_Plate2_H11,#4,04a_parent
1,0.0023,04a_24_05_Plate5_G12,#47,04a_parent
1,0.0023,04a_32_02_Plate6_G6,#48,04a_parent
1,0.0023,04a_36_03_Plate5_G6,#47,04a_parent
1,0.0023,04a_28_05_Plate5_E10,#49,04a_parent
1,0.0023,04a_40_02_Plate2_D12,#50,04a_parent
1,0.0023,04a_36_05_Plate4_D11,#13,04a_parent
1,0.0023,04a_28_04_Plate5_D8,#51,04a_parent
1,0.0023,04a_28_01_Plate7_D2,#52,04a_parent
1,0.0023,04a_28_03_Plate2_C11,#53,04a_parent
1,0.0023,04a_36_04_Plate5_C10,#54,04a_parent
1,0.0023,04a_32_05_Plate2_C1,#55,04a_parent
1,0.0023,04a_32_01_Plate7_B8,#14,04a_parent
1,0.0023,04a_40_03_Plate3_B8,#56,04a_parent
1,0.0023,04a_32_03_Plate6_B2,#50,04a_parent
1,0.0023,04a_28_02_Plate4_A12,#57,04a_parent
1,0.0023,04a_32_04_Plate5_A9,#4,04a_parent
1,0.0023,04a_24_04_Plate5_A6,#58,04a_parent
1,0.0023,04a_36_02_Plate2_A2,#59,04a_parent
1,0.0023,04a_40_04_Plate5_A1,#60,04a_parent
1,0.0023,04a_24_01_Plate3_A1,#61,04a_parent
1,0.0023,04a_40_01_Plate1_C3,#54,04a_parent
1,0.0023,04a_24_03_Plate1_F10,#62,04a_parent
1,0.0023,09a_28_02_Plate6_H2,#116,09a_parent
1,0.0023,09a_32_06_Plate2_G7,#16,09a_parent
1,0.0023,09a_28_06_Plate3_G4,#53,09a_parent
1,0.0023,09a_36_02_Plate4_G3,12b_parent,09a_parent
1,0.0023,09a_28_03_Plate7_G1,#117,09a_parent
1,0.0023,09a_28_05_Plate2_F9,#11,09a_parent
1,0.0023,09a_40_03_Plate6_E4,#118,09a_parent
1,0.0023,09a_40_01_Plate4_D9,#119,09a_parent
1,0.0023,09a_24_02_Plate7_D8,#120,09a_parent
1,0.0023,09a_32_01_Plate2_D6,#121,09a_parent
1,0.0023,09a_24_01_Plate5_D5,#122,09a_parent
1,0.0023,09a_28_04_Plate6_C1,#123,09a_parent
1,0.0023,09a_40_04_Plate5_B12,#124,09a_parent
1,0.0023,09a_32_04_Plate6_B6,#51,09a_parent
1,0.0023,09a_36_03_Plate5_B4,#49,09a_parent
1,0.0023,09a_32_05_Plate4_B3,#49,09a_parent
1,0.0023,09a_36_01_Plate5_B2,#116,09a_parent
1,0.0023,09a_32_02_Plate6_A12,#125,09a_parent
1,0.0023,09a_28_01_Plate2_A9,#23,09a_parent
1,0.0023,09a_24_04_Plate7_A8,#126,09a_parent
1,0.0023,09a_40_02_Plate1_E12,#127,09a_parent
1,0.0023,09a_36_05_Plate1_H11,#128,09a_parent
1,0.0023,09a_32_03_Plate1_D10,#129,09a_parent
1,0.0023,09a_28_07_Plate1_D8,#1,09a_parent
1,0.0023,12b_28_02_Plate2_H7,#5,12b_parent
1,0.0023,12b_24_01_Plate3_H6,#20,12b_parent
1,0.0023,12b_20_05_Plate7_H1,#130,12b_parent
1,0.0023,12b_40_01_Plate7_G11,#131,12b_parent
1,0.0023,12b_36_03_Plate2_G11,#17,12b_parent
1,0.0023,12b_28_01_Plate4_G7,#53,12b_parent
1,0.0023,12b_36_05_Plate2_G6,#132,12b_parent
1,0.0023,12b_24_04_Plate4_G5,#133,12b_parent
1,0.0023,12b_20_02_Plate6_G2,#134,12b_parent
1,0.0023,12b_20_01_Plate2_F11,#135,12b_parent
1,0.0023,12b_28_04_Plate7_F5,#136,12b_parent
1,0.0023,12b_40_02_Plate4_F4,#137,12b_parent
1,0.0023,12b_28_02_Plate2_E6,#138,12b_parent
1,0.0023,12b_36_02_Plate2_E5,#139,12b_parent
1,0.0023,12b_24_03_Plate6_D12,#58,12b_parent
1,0.0023,12b_20_04_Plate3_D11,#140,12b_parent
1,0.0023,12b_40_03_Plate4_D10,#61,12b_parent
1,0.0023,12b_32_04_Plate6_D5,#141,12b_parent
1,0.0023,12b_32_03_Plate2_D4,#140,12b_parent
1,0.0023,12b_40_04_Plate7_C6,#136,12b_parent
1,0.0023,12b_36_01_Plate2_C5,#136,12b_parent
